stop_id,stop_lat,stop_lon
A--100,4.710764785,-74.13979151
A--101,4.713006952,-74.14335951
A--102,4.712424952,-74.14074584
A--103,4.709303285,-74.14257384
A--105,4.712374118,-74.12592817
A--106,4.687553284,-74.11978516
A--107,4.711391951,-74.14400884
A--108,4.685938951,-74.11283866
A--109,4.690361118,-74.1314475
A--110,4.691134951,-74.11999933
A--111,4.693749284,-74.12319416
A--11113,4.593094948,-74.06970646
A--11114,4.595568282,-74.06748996
A--11115,4.599628949,-74.06552013
A--11116,4.598078115,-74.0649028
A--11117,4.593276782,-74.06978746
A--11119,4.589481115,-74.07683414
A--11120,4.584994282,-74.0776233
A--11121,4.582663948,-74.07873397
A--11122,4.585276782,-74.08053147
A--11123,4.586923282,-74.08223131
A--11124,4.588742448,-74.08393197
A--11125,4.59362374,-74.08128365
A--11126,4.565680724,-74.09658494
A--11127,4.565568974,-74.09671033
A--11128,4.565466085,-74.09683377
A--11129,4.565355266,-74.09695385
A--11130,4.565234303,-74.09709135
A--11131,4.565127452,-74.09720548
A--11132,4.694134658,-74.13600956
A--11133,4.694273451,-74.10830699
A--11134,4.716617381,-74.14244099
A--11135,4.715619322,-74.13943804
A--11136,4.58040614,-74.07210548
A--11138,4.580329173,-74.07259692
A--11139,4.631704594,-74.14620972
A--11142,4.629055443,-74.17350988
A--11143,4.619024277,-74.1844631
A--11148,4.620201783,-74.16757636
A--11149,4.617917616,-74.16845519
A--11150,4.615858616,-74.16802069
A--11151,4.614108116,-74.17042952
A--11152,4.614793616,-74.17186819
A--11153,4.616520783,-74.17187052
A--11154,4.618095116,-74.16966019
A--11155,4.620195116,-74.16728335
A--11156,4.628778283,-74.19900854
A--11157,4.629073116,-74.20284654
A--11160,4.63362595,-74.1983692
A--11162,4.638037116,-74.17169452
A--11163,4.641342783,-74.17146502
A--11164,4.64280795,-74.17029769
A--11165,4.645066283,-74.17263836
A--11166,4.644046617,-74.17502303
A--11167,4.64106745,-74.17400569
A--11168,4.63877895,-74.17269586
A--11169,4.634670116,-74.17036986
A--11170,4.620071449,-74.18868787
A--11171,4.622541949,-74.18751303
A--11173,4.625441449,-74.1930837
A--11174,4.624745116,-74.19492037
A--11175,4.623501449,-74.19782454
A--11176,4.622105116,-74.19946154
A--11177,4.621011616,-74.19549137
A--11178,4.621829616,-74.19313303
A--11179,4.622311783,-74.19123453
A--11185,4.638332116,-74.18178336
A--11186,4.635454283,-74.18039453
A--11187,4.629385616,-74.18388253
A--11188,4.629528616,-74.1873552
A--11189,4.63467695,-74.19070987
A--11190,4.638111283,-74.19439487
A--11191,4.63753295,-74.19336737
A--11192,4.63572995,-74.1915002
A--11193,4.633511283,-74.19016603
A--11194,4.630324616,-74.18786553
A--11195,4.629631616,-74.18325703
A--11196,4.631122116,-74.17988486
A--11197,4.623835783,-74.17682136
A--11198,4.622271783,-74.17270336
A--112,4.696910618,-74.12711617
A--11200,4.611182116,-74.17462053
A--11201,4.609254949,-74.17639419
A--11202,4.607719449,-74.17544786
A--11203,4.608545949,-74.17292852
A--11204,4.611812949,-74.17326086
A--11206,4.622340449,-74.17268719
A--11208,4.629919783,-74.17773603
A--11209,4.624725116,-74.17856386
A--11210,4.621093449,-74.18242186
A--11211,4.618207449,-74.1883397
A--11212,4.620315056,-74.19841286
A--11215,4.620971783,-74.18227386
A--11216,4.623889616,-74.17921386
A--11217,4.625105783,-74.16914569
A--11218,4.622759783,-74.16712769
